ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V02862727,A321_0467,2023-11-18 14:13:00,0.7,"{'temp': '-49°C', 'pressure': '936 hPa', 'vibrations': '4.1368797034312985 m/s²'}",0
V06213086,A380_5954,2023-11-18 14:13:00,10.2,"{'temp': '14°C', 'pressure': '1065 hPa', 'vibrations': '4.24917840236963 m/s²'}",1
V06467764,B767_3637,2023-11-18 14:13:00,6.4,"{'temp': '-3°C', 'pressure': '927 hPa', 'vibrations': '2.476301087101213 m/s²'}",0
V08379368,CRJ900_0271,2023-11-18 14:13:00,4.5,"{'temp': '30°C', 'pressure': '951 hPa', 'vibrations': '3.74598522961484 m/s²'}",0
V07751449,A330_1129,2023-11-18 14:13:00,5.1,"{'temp': '9°C', 'pressure': '976 hPa', 'vibrations': '4.070319274892549 m/s²'}",2
V04112952,A321_4569,2023-11-18 14:13:00,12.0,"{'temp': '25°C', 'pressure': '1086 hPa', 'vibrations': '3.578044148121754 m/s²'}",1
V03436824,A330_5024,2023-11-18 14:13:00,11.1,"{'temp': '23°C', 'pressure': '957 hPa', 'vibrations': '1.9286694680511562 m/s²'}",2
V05224475,E175_5780,2023-11-18 14:13:00,9.8,"{'temp': '-32°C', 'pressure': '1038 hPa', 'vibrations': '4.724963962994381 m/s²'}",1
V07959459,A320_6954,2023-11-18 14:13:00,1.7,"{'temp': '-50°C', 'pressure': '975 hPa', 'vibrations': '0.927855819374544 m/s²'}",2
V08644815,B767_3156,2023-11-18 14:13:00,9.3,"{'temp': '30°C', 'pressure': '924 hPa', 'vibrations': '3.4926234608016147 m/s²'}",0
V06192506,E175_3294,2023-11-18 14:13:00,3.3,"{'temp': '9°C', 'pressure': '992 hPa', 'vibrations': '3.1017964922016645 m/s²'}",0
V05766126,CRJ900_6200,2023-11-18 14:13:00,3.5,"{'temp': '20°C', 'pressure': '961 hPa', 'vibrations': '4.795705702704886 m/s²'}",0
V06792451,A321_6216,2023-11-18 14:13:00,6.6,"{'temp': '8°C', 'pressure': '1008 hPa', 'vibrations': '1.101153165403705 m/s²'}",0
V08483845,A350_5005,2023-11-18 14:13:00,3.8,"{'temp': '46°C', 'pressure': '1098 hPa', 'vibrations': '3.1176661676437605 m/s²'}",0
V03884947,E170_0564,2023-11-18 14:13:00,6.1,"{'temp': '-29°C', 'pressure': '1012 hPa', 'vibrations': '1.573986190813725 m/s²'}",0
V09406753,A380_2873,2023-11-18 14:13:00,11.1,"{'temp': '4°C', 'pressure': '1057 hPa', 'vibrations': '2.2186077115588687 m/s²'}",1
V00232735,A321_0497,2023-11-18 14:13:00,9.5,"{'temp': '-30°C', 'pressure': '993 hPa', 'vibrations': '1.1952034046133702 m/s²'}",1
V00099315,CRJ700_5389,2023-11-18 14:13:00,6.6,"{'temp': '45°C', 'pressure': '968 hPa', 'vibrations': '4.624880452660429 m/s²'}",0
V09677304,B757_3072,2023-11-18 14:13:00,11.3,"{'temp': '-13°C', 'pressure': '973 hPa', 'vibrations': '3.3293967844098886 m/s²'}",1
V02046146,CRJ700_2204,2023-11-18 14:13:00,10.4,"{'temp': '48°C', 'pressure': '1076 hPa', 'vibrations': '1.3708002777833617 m/s²'}",1
V03946390,B757_0500,2023-11-18 14:13:00,8.7,"{'temp': '17°C', 'pressure': '958 hPa', 'vibrations': '0.19416788544115993 m/s²'}",2
V02965336,B767_0657,2023-11-18 14:13:00,3.4,"{'temp': '-42°C', 'pressure': '955 hPa', 'vibrations': '2.1238269300072217 m/s²'}",0
V05724586,B737_0342,2023-11-18 14:13:00,10.1,"{'temp': '18°C', 'pressure': '1089 hPa', 'vibrations': '1.2590214611047075 m/s²'}",1
V00884917,A340_2275,2023-11-18 14:13:00,8.7,"{'temp': '15°C', 'pressure': '1020 hPa', 'vibrations': '2.711783174305817 m/s²'}",2
V02754489,B767_6273,2023-11-18 14:13:00,11.6,"{'temp': '42°C', 'pressure': '951 hPa', 'vibrations': '0.23583444111848872 m/s²'}",2
V07475570,A330_1563,2023-11-18 14:13:00,5.7,"{'temp': '-15°C', 'pressure': '1076 hPa', 'vibrations': '2.7831819741572876 m/s²'}",0
V09161060,CRJ900_5255,2023-11-18 14:13:00,9.2,"{'temp': '-23°C', 'pressure': '994 hPa', 'vibrations': '4.6509269974319984 m/s²'}",0
V04901558,B747_0175,2023-11-18 14:13:00,4.7,"{'temp': '-28°C', 'pressure': '1048 hPa', 'vibrations': '1.3931341545651565 m/s²'}",2
V00850946,E175_1081,2023-11-18 14:13:00,1.7,"{'temp': '-6°C', 'pressure': '1064 hPa', 'vibrations': '2.176888801663543 m/s²'}",0
V03862300,CRJ900_2888,2023-11-18 14:13:00,5.3,"{'temp': '2°C', 'pressure': '1021 hPa', 'vibrations': '0.4005157630696915 m/s²'}",0
V04364660,B737_2009,2023-11-18 14:13:00,0.7,"{'temp': '22°C', 'pressure': '976 hPa', 'vibrations': '0.46040072557450795 m/s²'}",0
