ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V02927911,B767_3156,2023-11-20 14:13:00,6.4,"{'temp': '33°C', 'pressure': '990 hPa', 'vibrations': '4.032369267057178 m/s²'}",0
V01967326,None_5883,2023-11-20 14:13:00,3.9,"{'temp': '-2°C', 'pressure': '975 hPa', 'vibrations': '0.9139530031852511 m/s²'}",0
V08132119,CRJ900_6891,2023-11-20 14:13:00,6.4,"{'temp': '-13°C', 'pressure': '1019 hPa', 'vibrations': '4.30827461408448 m/s²'}",0
V08200295,B737_5678,2023-11-20 14:13:00,2.0,"{'temp': '-25°C', 'pressure': '959 hPa', 'vibrations': '0.4277646779167116 m/s²'}",0
V01055578,B747_2406,2023-11-20 14:13:00,11.9,"{'temp': '47°C', 'pressure': '1013 hPa', 'vibrations': '1.3788566970296472 m/s²'}",1
V00917561,A320_0063,2023-11-20 14:13:00,4.2,"{'temp': '36°C', 'pressure': '1038 hPa', 'vibrations': '3.980654593861852 m/s²'}",0
V06199454,E175_4749,2023-11-20 14:13:00,5.2,"{'temp': '30°C', 'pressure': '1089 hPa', 'vibrations': '4.3609050164783945 m/s²'}",0
V03433488,B757_1659,2023-11-20 14:13:00,1.6,"{'temp': '-5°C', 'pressure': '1065 hPa', 'vibrations': '0.49427043375724566 m/s²'}",0
V05969974,B737_0608,2023-11-20 14:13:00,9.8,"{'temp': '-30°C', 'pressure': '946 hPa', 'vibrations': '3.6273482938236774 m/s²'}",1
V05056268,B767_5851,2023-11-20 14:13:00,8.8,"{'temp': '8°C', 'pressure': '905 hPa', 'vibrations': '0.1690665492715171 m/s²'}",0
V08283941,B777_4681,2023-11-20 14:13:00,10.8,"{'temp': '-12°C', 'pressure': '1031 hPa', 'vibrations': '1.442321703317564 m/s²'}",2
V08815220,E170_5822,2023-11-20 14:13:00,7.7,"{'temp': '5°C', 'pressure': '970 hPa', 'vibrations': '3.3204353690672246 m/s²'}",0
V05262853,B767_0657,2023-11-20 14:13:00,11.6,"{'temp': '-1°C', 'pressure': '981 hPa', 'vibrations': '2.759198331836993 m/s²'}",1
