ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V07711793,B747_0195,2023-12-30 14:13:00,8.9,"{'temp': '-21°C', 'pressure': '957 hPa', 'vibrations': '2.370610914996773 m/s²'}",0
V02149774,A380_2873,2023-12-30 14:13:00,5.9,"{'temp': '0°C', 'pressure': '1048 hPa', 'vibrations': '0.9569706692285762 m/s²'}",0
V04122901,A380_5479,2023-12-30 14:13:00,4.4,"{'temp': '11°C', 'pressure': '909 hPa', 'vibrations': '4.4059314324448 m/s²'}",2
V09440997,E170_5403,2023-12-30 14:13:00,1.1,"{'temp': '38°C', 'pressure': '1011 hPa', 'vibrations': '0.1882188533330703 m/s²'}",0
V03228686,B767_1128,2023-12-30 14:13:00,0.9,"{'temp': '13°C', 'pressure': '975 hPa', 'vibrations': '0.8070066360867112 m/s²'}",0
V09604093,A320_6052,2023-12-30 14:13:00,5.0,"{'temp': '32°C', 'pressure': '911 hPa', 'vibrations': '0.9592019291060039 m/s²'}",0
V01952362,E170_1621,2023-12-30 14:13:00,1.8,"{'temp': '50°C', 'pressure': '1071 hPa', 'vibrations': '3.4009940081128676 m/s²'}",0
V03235988,E175_4832,2023-12-30 14:13:00,6.8,"{'temp': '-45°C', 'pressure': '1016 hPa', 'vibrations': '0.06582588526786226 m/s²'}",0
V01711671,B777_2551,2023-12-30 14:13:00,2.1,"{'temp': '-31°C', 'pressure': '1036 hPa', 'vibrations': '1.8630947439806034 m/s²'}",0
V04284644,E170_2289,2023-12-30 14:13:00,5.0,"{'temp': '35°C', 'pressure': '1095 hPa', 'vibrations': '4.149145927125136 m/s²'}",0
V08897713,CRJ700_6475,2023-12-30 14:13:00,9.1,"{'temp': '-32°C', 'pressure': '1060 hPa', 'vibrations': '2.919471179576387 m/s²'}",0
V04985535,A321_4569,2023-12-30 14:13:00,8.1,"{'temp': '-33°C', 'pressure': '942 hPa', 'vibrations': '2.1526709061554765 m/s²'}",0
V04872939,B757_0284,2023-12-30 14:13:00,4.7,"{'temp': '-47°C', 'pressure': '1079 hPa', 'vibrations': '4.5629586929187 m/s²'}",0
