ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V05323102,A340_0646,2024-01-02 14:13:00,8.0,"{'temp': '-35°C', 'pressure': '982 hPa', 'vibrations': '2.2283137482457005 m/s²'}",0
V09237375,CRJ900_0271,2024-01-02 14:13:00,5.9,"{'temp': '-18°C', 'pressure': '1099 hPa', 'vibrations': '3.69369100867024 m/s²'}",0
V07898431,None_0118,2024-01-02 14:13:00,11.0,"{'temp': '21°C', 'pressure': '1035 hPa', 'vibrations': '2.1818123888772 m/s²'}",1
V02141003,A320_0063,2024-01-02 14:13:00,11.4,"{'temp': '5°C', 'pressure': '910 hPa', 'vibrations': '1.9236210002662524 m/s²'}",2
V08375141,B737_2293,2024-01-02 14:13:00,10.1,"{'temp': '6°C', 'pressure': '971 hPa', 'vibrations': '2.6074021511578045 m/s²'}",1
V02990593,None_3415,2024-01-02 14:13:00,3.7,"{'temp': '-42°C', 'pressure': '983 hPa', 'vibrations': '3.173387676302225 m/s²'}",0
V00961046,CRJ700_2827,2024-01-02 14:13:00,10.3,"{'temp': '-5°C', 'pressure': '946 hPa', 'vibrations': '1.4237461581529893 m/s²'}",1
V08453060,E170_1621,2024-01-02 14:13:00,8.8,"{'temp': '8°C', 'pressure': '1034 hPa', 'vibrations': '4.217913084769231 m/s²'}",0
V06576491,B777_1042,2024-01-02 14:13:00,11.7,"{'temp': '4°C', 'pressure': '1024 hPa', 'vibrations': '2.4193689097284476 m/s²'}",1
V01658061,E170_1474,2024-01-02 14:13:00,9.6,"{'temp': '-46°C', 'pressure': '1014 hPa', 'vibrations': '3.8037497805400755 m/s²'}",1
V06110691,CRJ700_6475,2024-01-02 14:13:00,5.7,"{'temp': '18°C', 'pressure': '906 hPa', 'vibrations': '3.6852446142087514 m/s²'}",0
V08202542,A330_1563,2024-01-02 14:13:00,10.7,"{'temp': '50°C', 'pressure': '1066 hPa', 'vibrations': '1.6993261066386616 m/s²'}",1
V05382871,A320_2211,2024-01-02 14:13:00,5.1,"{'temp': '16°C', 'pressure': '972 hPa', 'vibrations': '0.4294916211673233 m/s²'}",0
V04295246,A320_2772,2024-01-02 14:13:00,10.1,"{'temp': '-9°C', 'pressure': '1022 hPa', 'vibrations': '0.8507736543502725 m/s²'}",1
V02976996,B747_0195,2024-01-02 14:13:00,6.1,"{'temp': '11°C', 'pressure': '984 hPa', 'vibrations': '0.32478403261342936 m/s²'}",0
V02982662,B767_3156,2024-01-02 14:13:00,2.7,"{'temp': '-16°C', 'pressure': '917 hPa', 'vibrations': '0.9744772203925939 m/s²'}",0
V05013256,B737_2009,2024-01-02 14:13:00,2.3,"{'temp': '9°C', 'pressure': '994 hPa', 'vibrations': '3.07144662423379 m/s²'}",0
V04943803,E175_6535,2024-01-02 14:13:00,2.0,"{'temp': '46°C', 'pressure': '1003 hPa', 'vibrations': '2.428551813560962 m/s²'}",0
V05754893,A340_3082,2024-01-02 14:13:00,6.0,"{'temp': '-35°C', 'pressure': '940 hPa', 'vibrations': '0.7807232259356123 m/s²'}",0
V01328790,A321_0613,2024-01-02 14:13:00,7.3,"{'temp': '-32°C', 'pressure': '1006 hPa', 'vibrations': '0.6577773248540469 m/s²'}",0
V08742146,A340_2275,2024-01-02 14:13:00,10.9,"{'temp': '19°C', 'pressure': '1094 hPa', 'vibrations': '1.0006804063731063 m/s²'}",2
V06324835,A321_6216,2024-01-02 14:13:00,4.3,"{'temp': '-25°C', 'pressure': '975 hPa', 'vibrations': '4.907171838019651 m/s²'}",0
V03826721,CRJ700_6562,2024-01-02 14:13:00,10.5,"{'temp': '36°C', 'pressure': '1064 hPa', 'vibrations': '2.386997329552383 m/s²'}",2
V04912307,B757_1707,2024-01-02 14:13:00,1.8,"{'temp': '-46°C', 'pressure': '1046 hPa', 'vibrations': '3.252331958105218 m/s²'}",0
V03384420,A330_2342,2024-01-02 14:13:00,10.6,"{'temp': '-2°C', 'pressure': '958 hPa', 'vibrations': '0.7359696904502455 m/s²'}",1
V01116947,B757_3072,2024-01-02 14:13:00,6.4,"{'temp': '44°C', 'pressure': '1042 hPa', 'vibrations': '2.387828922110264 m/s²'}",0
V03838833,None_2407,2024-01-02 14:13:00,0.8,"{'temp': '-48°C', 'pressure': '1099 hPa', 'vibrations': '4.888462376406858 m/s²'}",0
V04917103,CRJ900_1184,2024-01-02 14:13:00,8.1,"{'temp': '49°C', 'pressure': '973 hPa', 'vibrations': '3.541986362957459 m/s²'}",0
V08730681,B767_2487,2024-01-02 14:13:00,10.0,"{'temp': '50°C', 'pressure': '1083 hPa', 'vibrations': '4.3661177865380605 m/s²'}",1
V03653196,B737_6470,2024-01-02 14:13:00,10.0,"{'temp': '18°C', 'pressure': '983 hPa', 'vibrations': '0.49007778992782136 m/s²'}",1
V09301541,A320_3805,2024-01-02 14:13:00,1.6,"{'temp': '8°C', 'pressure': '1069 hPa', 'vibrations': '3.3611391607120193 m/s²'}",0
V06426002,CRJ700_2204,2024-01-02 14:13:00,4.3,"{'temp': '10°C', 'pressure': '948 hPa', 'vibrations': '3.1296513496144494 m/s²'}",0
V08201118,A321_0987,2024-01-02 14:13:00,5.3,"{'temp': '38°C', 'pressure': '1068 hPa', 'vibrations': '3.760749905683778 m/s²'}",0
V06868620,None_5579,2024-01-02 14:13:00,1.7,"{'temp': '-22°C', 'pressure': '1097 hPa', 'vibrations': '1.1541050822027 m/s²'}",0
