ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V07799271,E175_5083,2023-12-07 14:13:00,8.2,"{'temp': '-47°C', 'pressure': '1091 hPa', 'vibrations': '0.1624408980018205 m/s²'}",0
V02094283,E175_1713,2023-12-07 14:13:00,2.9,"{'temp': '32°C', 'pressure': '989 hPa', 'vibrations': '1.0439169401939257 m/s²'}",2
V08018696,A350_3187,2023-12-07 14:13:00,8.6,"{'temp': '23°C', 'pressure': '1076 hPa', 'vibrations': '1.0398514110989217 m/s²'}",0
V08615204,E170_1341,2023-12-07 14:13:00,3.5,"{'temp': '-21°C', 'pressure': '938 hPa', 'vibrations': '0.7626948919637039 m/s²'}",0
V04662113,B737_5678,2023-12-07 14:13:00,8.6,"{'temp': '-43°C', 'pressure': '1100 hPa', 'vibrations': '1.2397331924607586 m/s²'}",2
V00206772,E170_5403,2023-12-07 14:13:00,5.9,"{'temp': '-36°C', 'pressure': '915 hPa', 'vibrations': '1.0479993682132123 m/s²'}",0
V04981529,B747_1933,2023-12-07 14:13:00,2.3,"{'temp': '19°C', 'pressure': '943 hPa', 'vibrations': '0.3902800849204868 m/s²'}",0
V01770263,None_5980,2023-12-07 14:13:00,10.7,"{'temp': '2°C', 'pressure': '1086 hPa', 'vibrations': '0.8007914656385751 m/s²'}",1
V03229863,B757_0500,2023-12-07 14:13:00,8.8,"{'temp': '-35°C', 'pressure': '989 hPa', 'vibrations': '4.405587331170498 m/s²'}",0
V08306292,B767_3156,2023-12-07 14:13:00,1.2,"{'temp': '33°C', 'pressure': '1074 hPa', 'vibrations': '2.9065354934915817 m/s²'}",0
V03995599,B767_0601,2023-12-07 14:13:00,9.5,"{'temp': '-41°C', 'pressure': '964 hPa', 'vibrations': '2.6378530903670363 m/s²'}",1
V05757480,E175_6535,2023-12-07 14:13:00,0.7,"{'temp': '48°C', 'pressure': '1099 hPa', 'vibrations': '1.5938912255976017 m/s²'}",0
V04389247,A330_1563,2023-12-07 14:13:00,7.0,"{'temp': '29°C', 'pressure': '1043 hPa', 'vibrations': '2.088030634690126 m/s²'}",0
V02883582,E175_0964,2023-12-07 14:13:00,7.8,"{'temp': '24°C', 'pressure': '962 hPa', 'vibrations': '4.557506137559427 m/s²'}",0
V02143535,E175_4239,2023-12-07 14:13:00,2.5,"{'temp': '-26°C', 'pressure': '997 hPa', 'vibrations': '0.07047862246336023 m/s²'}",0
V04239451,B747_0195,2023-12-07 14:13:00,8.7,"{'temp': '44°C', 'pressure': '1099 hPa', 'vibrations': '3.9405199474407944 m/s²'}",0
V03456342,E175_6229,2023-12-07 14:13:00,1.0,"{'temp': '48°C', 'pressure': '1086 hPa', 'vibrations': '2.053614310168586 m/s²'}",0
V05927856,B767_6463,2023-12-07 14:13:00,4.1,"{'temp': '44°C', 'pressure': '959 hPa', 'vibrations': '4.6860996860039 m/s²'}",0
V07312294,B767_2487,2023-12-07 14:13:00,8.9,"{'temp': '-45°C', 'pressure': '907 hPa', 'vibrations': '1.5121761497577642 m/s²'}",0
V05633829,A380_4959,2023-12-07 14:13:00,2.8,"{'temp': '-23°C', 'pressure': '965 hPa', 'vibrations': '4.142419150766644 m/s²'}",2
V09834939,E175_5515,2023-12-07 14:13:00,3.2,"{'temp': '44°C', 'pressure': '969 hPa', 'vibrations': '0.048854476811777126 m/s²'}",0
V09883562,CRJ700_6562,2023-12-07 14:13:00,11.0,"{'temp': '-46°C', 'pressure': '917 hPa', 'vibrations': '4.558897487296277 m/s²'}",1
V00483605,E170_2173,2023-12-07 14:13:00,11.6,"{'temp': '-5°C', 'pressure': '1049 hPa', 'vibrations': '1.864436675762264 m/s²'}",1
V01040290,B747_0302,2023-12-07 14:13:00,1.4,"{'temp': '-44°C', 'pressure': '988 hPa', 'vibrations': '3.7948185400854277 m/s²'}",0
V04755290,CRJ900_6891,2023-12-07 14:13:00,7.5,"{'temp': '-40°C', 'pressure': '969 hPa', 'vibrations': '4.129008053274822 m/s²'}",2
V06759148,B737_0608,2023-12-07 14:13:00,4.9,"{'temp': '-8°C', 'pressure': '1029 hPa', 'vibrations': '4.042001664687392 m/s²'}",0
