ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V00010982,E175_5515,2023-12-09 14:13:00,8.4,"{'temp': '-6°C', 'pressure': '999 hPa', 'vibrations': '2.4864793889303165 m/s²'}",0
V01884660,None_3322,2023-12-09 14:13:00,1.6,"{'temp': '32°C', 'pressure': '956 hPa', 'vibrations': '4.781641046287528 m/s²'}",0
V06119815,A350_1948,2023-12-09 14:13:00,6.5,"{'temp': '40°C', 'pressure': '933 hPa', 'vibrations': '0.09688429788526909 m/s²'}",0
V01727298,E170_2289,2023-12-09 14:13:00,5.5,"{'temp': '25°C', 'pressure': '983 hPa', 'vibrations': '4.904978955549714 m/s²'}",0
V06074111,CRJ900_5525,2023-12-09 14:13:00,8.4,"{'temp': '-4°C', 'pressure': '1090 hPa', 'vibrations': '2.581343635900603 m/s²'}",0
V09126814,B757_6583,2023-12-09 14:13:00,6.5,"{'temp': '-47°C', 'pressure': '968 hPa', 'vibrations': '3.175571912228258 m/s²'}",0
V07669867,A320_6052,2023-12-09 14:13:00,2.7,"{'temp': '-11°C', 'pressure': '1039 hPa', 'vibrations': '1.007771299125198 m/s²'}",0
V00612217,None_0075,2023-12-09 14:13:00,4.6,"{'temp': '5°C', 'pressure': '1071 hPa', 'vibrations': '0.9418249409328044 m/s²'}",0
V07157723,A330_5024,2023-12-09 14:13:00,10.5,"{'temp': '32°C', 'pressure': '906 hPa', 'vibrations': '1.1140094440372987 m/s²'}",2
V03260225,B777_6834,2023-12-09 14:13:00,10.4,"{'temp': '34°C', 'pressure': '1081 hPa', 'vibrations': '3.6440385069932963 m/s²'}",1
V09200435,E175_0583,2023-12-09 14:13:00,10.6,"{'temp': '-16°C', 'pressure': '908 hPa', 'vibrations': '1.1792672163108415 m/s²'}",1
V08557473,E175_0440,2023-12-09 14:13:00,4.0,"{'temp': '-11°C', 'pressure': '991 hPa', 'vibrations': '3.4120644150574693 m/s²'}",0
V06951561,E175_0488,2023-12-09 14:13:00,3.0,"{'temp': '29°C', 'pressure': '933 hPa', 'vibrations': '3.965609862635306 m/s²'}",0
V00307175,A320_6028,2023-12-09 14:13:00,8.7,"{'temp': '5°C', 'pressure': '968 hPa', 'vibrations': '1.6962008962603814 m/s²'}",0
V05703739,A330_2342,2023-12-09 14:13:00,1.6,"{'temp': '-31°C', 'pressure': '1095 hPa', 'vibrations': '3.7553503337980816 m/s²'}",0
