ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V05857084,A380_6060,2023-12-10 14:13:00,4.3,"{'temp': '22°C', 'pressure': '1040 hPa', 'vibrations': '0.02471516661313955 m/s²'}",0
V03217052,A340_3082,2023-12-10 14:13:00,9.8,"{'temp': '40°C', 'pressure': '960 hPa', 'vibrations': '4.136720135389051 m/s²'}",1
V04781381,B747_4916,2023-12-10 14:13:00,7.5,"{'temp': '-24°C', 'pressure': '996 hPa', 'vibrations': '2.02797258274731 m/s²'}",0
V09432175,CRJ900_5525,2023-12-10 14:13:00,11.2,"{'temp': '-34°C', 'pressure': '988 hPa', 'vibrations': '4.403031126123554 m/s²'}",1
V02776871,B737_2009,2023-12-10 14:13:00,1.3,"{'temp': '13°C', 'pressure': '1017 hPa', 'vibrations': '2.3891686327461144 m/s²'}",0
V01456840,B737_2293,2023-12-10 14:13:00,2.0,"{'temp': '-42°C', 'pressure': '921 hPa', 'vibrations': '2.809525867736036 m/s²'}",0
V09462671,None_6838,2023-12-10 14:13:00,1.6,"{'temp': '7°C', 'pressure': '986 hPa', 'vibrations': '4.473105396423776 m/s²'}",0
V09882724,E170_1341,2023-12-10 14:13:00,1.4,"{'temp': '-5°C', 'pressure': '986 hPa', 'vibrations': '4.883855708318698 m/s²'}",0
V05531263,CRJ900_0271,2023-12-10 14:13:00,10.4,"{'temp': '37°C', 'pressure': '970 hPa', 'vibrations': '3.647857560327081 m/s²'}",1
V06554715,B737_0608,2023-12-10 14:13:00,7.9,"{'temp': '-42°C', 'pressure': '929 hPa', 'vibrations': '1.4001323860986252 m/s²'}",0
V08789145,CRJ700_5389,2023-12-10 14:13:00,5.3,"{'temp': '-14°C', 'pressure': '986 hPa', 'vibrations': '1.9761657062613787 m/s²'}",0
V00686273,B737_6821,2023-12-10 14:13:00,1.5,"{'temp': '13°C', 'pressure': '1078 hPa', 'vibrations': '0.1182570684369888 m/s²'}",0
V05547314,B757_1707,2023-12-10 14:13:00,12.0,"{'temp': '3°C', 'pressure': '1034 hPa', 'vibrations': '0.39091797831631525 m/s²'}",1
V05571875,B737_5252,2023-12-10 14:13:00,1.1,"{'temp': '-49°C', 'pressure': '950 hPa', 'vibrations': '1.0184939187546993 m/s²'}",0
V07830886,E175_0488,2023-12-10 14:13:00,3.7,"{'temp': '6°C', 'pressure': '957 hPa', 'vibrations': '0.11780441489807947 m/s²'}",0
V09785820,A350_3715,2023-12-10 14:13:00,6.6,"{'temp': '-1°C', 'pressure': '943 hPa', 'vibrations': '4.971065862167407 m/s²'}",0
V07748652,A340_5178,2023-12-10 14:13:00,8.9,"{'temp': '-44°C', 'pressure': '1028 hPa', 'vibrations': '2.9067311652063643 m/s²'}",2
V05804510,E175_6535,2023-12-10 14:13:00,11.1,"{'temp': '17°C', 'pressure': '908 hPa', 'vibrations': '3.7076952433419046 m/s²'}",1
V05853969,A330_1938,2023-12-10 14:13:00,6.9,"{'temp': '-21°C', 'pressure': '1079 hPa', 'vibrations': '4.459774687354593 m/s²'}",0
V05345202,B767_5851,2023-12-10 14:13:00,1.5,"{'temp': '20°C', 'pressure': '921 hPa', 'vibrations': '0.9785077010564996 m/s²'}",0
V05427826,B777_1037,2023-12-10 14:13:00,3.6,"{'temp': '43°C', 'pressure': '999 hPa', 'vibrations': '2.602866484335346 m/s²'}",0
V02659593,A321_4569,2023-12-10 14:13:00,8.0,"{'temp': '40°C', 'pressure': '914 hPa', 'vibrations': '0.09366987109302616 m/s²'}",0
V01138779,B767_3223,2023-12-10 14:13:00,4.5,"{'temp': '-41°C', 'pressure': '915 hPa', 'vibrations': '1.4777914048614975 m/s²'}",0
V09891734,B767_3156,2023-12-10 14:13:00,2.8,"{'temp': '-40°C', 'pressure': '1096 hPa', 'vibrations': '0.6246113001065795 m/s²'}",0
V06694354,A320_3805,2023-12-10 14:13:00,7.7,"{'temp': '-22°C', 'pressure': '949 hPa', 'vibrations': '3.854944431515584 m/s²'}",0
V06199430,A330_1563,2023-12-10 14:13:00,11.9,"{'temp': '44°C', 'pressure': '1058 hPa', 'vibrations': '3.912849209060443 m/s²'}",1
V06090632,A330_1129,2023-12-10 14:13:00,5.2,"{'temp': '-50°C', 'pressure': '946 hPa', 'vibrations': '4.288764595227244 m/s²'}",0
V02190112,A350_1683,2023-12-10 14:13:00,9.2,"{'temp': '-9°C', 'pressure': '989 hPa', 'vibrations': '3.2245549082394436 m/s²'}",2
V07276821,CRJ900_6725,2023-12-10 14:13:00,6.4,"{'temp': '-31°C', 'pressure': '993 hPa', 'vibrations': '3.2978371750377318 m/s²'}",2
