ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V09653561,E170_5403,2023-12-11 14:13:00,7.4,"{'temp': '32°C', 'pressure': '916 hPa', 'vibrations': '3.4807351619225573 m/s²'}",0
V04452109,CRJ700_5389,2023-12-11 14:13:00,5.1,"{'temp': '-40°C', 'pressure': '963 hPa', 'vibrations': '2.245804508276254 m/s²'}",0
V09819260,B767_1817,2023-12-11 14:13:00,1.9,"{'temp': '13°C', 'pressure': '1036 hPa', 'vibrations': '0.5796621870373675 m/s²'}",0
V08767926,B757_1659,2023-12-11 14:13:00,9.4,"{'temp': '11°C', 'pressure': '1067 hPa', 'vibrations': '3.3624503477311602 m/s²'}",0
V01676541,A340_1943,2023-12-11 14:13:00,1.6,"{'temp': '45°C', 'pressure': '932 hPa', 'vibrations': '0.6989439524180335 m/s²'}",2
V03259640,E175_1224,2023-12-11 14:13:00,0.7,"{'temp': '17°C', 'pressure': '1079 hPa', 'vibrations': '2.9611539086276446 m/s²'}",0
V06018847,B777_1363,2023-12-11 14:13:00,7.7,"{'temp': '43°C', 'pressure': '1050 hPa', 'vibrations': '0.18255048312878608 m/s²'}",0
V00202649,CRJ900_5255,2023-12-11 14:13:00,6.0,"{'temp': '28°C', 'pressure': '1033 hPa', 'vibrations': '1.328460209854141 m/s²'}",0
V06815113,B737_0608,2023-12-11 14:13:00,10.4,"{'temp': '-17°C', 'pressure': '1053 hPa', 'vibrations': '2.5264969474548513 m/s²'}",1
V02536177,A320_0039,2023-12-11 14:13:00,7.9,"{'temp': '-39°C', 'pressure': '971 hPa', 'vibrations': '0.6232915084081253 m/s²'}",0
V03808970,A320_3792,2023-12-11 14:13:00,10.0,"{'temp': '-47°C', 'pressure': '1039 hPa', 'vibrations': '2.312469480448416 m/s²'}",1
V00165669,B747_4916,2023-12-11 14:13:00,6.3,"{'temp': '24°C', 'pressure': '1100 hPa', 'vibrations': '1.10294176902354 m/s²'}",0
V07695490,E175_5083,2023-12-11 14:13:00,3.2,"{'temp': '-8°C', 'pressure': '1062 hPa', 'vibrations': '4.377094709492642 m/s²'}",0
V04460024,A380_6060,2023-12-11 14:13:00,8.2,"{'temp': '-50°C', 'pressure': '1002 hPa', 'vibrations': '4.438477835850846 m/s²'}",0
V09164073,E175_5515,2023-12-11 14:13:00,5.1,"{'temp': '-15°C', 'pressure': '1006 hPa', 'vibrations': '4.168996101211911 m/s²'}",0
V08764530,A330_2342,2023-12-11 14:13:00,1.5,"{'temp': '-38°C', 'pressure': '1093 hPa', 'vibrations': '3.1338798302960917 m/s²'}",0
V03703542,B767_2487,2023-12-11 14:13:00,3.2,"{'temp': '13°C', 'pressure': '957 hPa', 'vibrations': '0.7853028116743332 m/s²'}",0
V03903510,E175_4487,2023-12-11 14:13:00,8.7,"{'temp': '0°C', 'pressure': '1065 hPa', 'vibrations': '0.19983559288025976 m/s²'}",0
V01757008,B777_3756,2023-12-11 14:13:00,2.3,"{'temp': '21°C', 'pressure': '1013 hPa', 'vibrations': '3.470361371830006 m/s²'}",0
V08102422,B767_5851,2023-12-11 14:13:00,1.9,"{'temp': '35°C', 'pressure': '1064 hPa', 'vibrations': '0.7858832268606514 m/s²'}",0
V09874041,CRJ900_5737,2023-12-11 14:13:00,7.2,"{'temp': '25°C', 'pressure': '964 hPa', 'vibrations': '4.545686891254661 m/s²'}",0
V03151395,A320_4466,2023-12-11 14:13:00,1.3,"{'temp': '36°C', 'pressure': '1031 hPa', 'vibrations': '2.5368566848743934 m/s²'}",0
V09315561,A330_5384,2023-12-11 14:13:00,5.8,"{'temp': '28°C', 'pressure': '923 hPa', 'vibrations': '4.931168919365552 m/s²'}",0
V09265602,CRJ900_6725,2023-12-11 14:13:00,7.8,"{'temp': '-9°C', 'pressure': '1060 hPa', 'vibrations': '2.8991671330477056 m/s²'}",2
V04425546,None_5980,2023-12-11 14:13:00,9.6,"{'temp': '7°C', 'pressure': '1071 hPa', 'vibrations': '2.720404438798061 m/s²'}",1
V00076037,CRJ700_6475,2023-12-11 14:13:00,7.3,"{'temp': '34°C', 'pressure': '1084 hPa', 'vibrations': '2.41133124601586 m/s²'}",0
V02358485,B767_0601,2023-12-11 14:13:00,9.5,"{'temp': '-40°C', 'pressure': '948 hPa', 'vibrations': '0.002356088816374835 m/s²'}",1
V09155234,E175_1081,2023-12-11 14:13:00,10.1,"{'temp': '28°C', 'pressure': '952 hPa', 'vibrations': '2.2958322549292802 m/s²'}",2
V06183296,A320_0020,2023-12-11 14:13:00,2.4,"{'temp': '-7°C', 'pressure': '983 hPa', 'vibrations': '4.280654860617615 m/s²'}",0
V05952917,A320_6052,2023-12-11 14:13:00,0.7,"{'temp': '-20°C', 'pressure': '942 hPa', 'vibrations': '3.182275444920702 m/s²'}",0
V02181310,None_6155,2023-12-11 14:13:00,2.6,"{'temp': '-45°C', 'pressure': '1062 hPa', 'vibrations': '3.49562191599494 m/s²'}",0
V01185978,B737_2584,2023-12-11 14:13:00,11.5,"{'temp': '19°C', 'pressure': '1056 hPa', 'vibrations': '3.5300183667648226 m/s²'}",1
V06064537,B757_1013,2023-12-11 14:13:00,2.4,"{'temp': '-48°C', 'pressure': '1049 hPa', 'vibrations': '0.8433134648385809 m/s²'}",0
V06462383,B747_6830,2023-12-11 14:13:00,6.9,"{'temp': '-45°C', 'pressure': '1007 hPa', 'vibrations': '0.7911515240177724 m/s²'}",0
V05173663,CRJ700_6562,2023-12-11 14:13:00,9.5,"{'temp': '-44°C', 'pressure': '918 hPa', 'vibrations': '0.9554780679415659 m/s²'}",1
V08826942,B757_1707,2023-12-11 14:13:00,6.5,"{'temp': '-40°C', 'pressure': '1021 hPa', 'vibrations': '1.40894950927401 m/s²'}",0
V06345050,B737_6821,2023-12-11 14:13:00,5.0,"{'temp': '-15°C', 'pressure': '1021 hPa', 'vibrations': '1.7992152119477738 m/s²'}",0
V02215406,A320_6364,2023-12-11 14:13:00,7.4,"{'temp': '28°C', 'pressure': '937 hPa', 'vibrations': '0.8775951875141563 m/s²'}",2
V01459519,CRJ700_2827,2023-12-11 14:13:00,9.0,"{'temp': '47°C', 'pressure': '984 hPa', 'vibrations': '1.3091413226499022 m/s²'}",0
V03505391,A321_0987,2023-12-11 14:13:00,7.8,"{'temp': '50°C', 'pressure': '1055 hPa', 'vibrations': '0.1582300635682926 m/s²'}",0
V06848549,B767_1623,2023-12-11 14:13:00,5.8,"{'temp': '-21°C', 'pressure': '966 hPa', 'vibrations': '3.2221251970905795 m/s²'}",0
V09054936,B777_1042,2023-12-11 14:13:00,10.2,"{'temp': '-18°C', 'pressure': '907 hPa', 'vibrations': '4.3935474639803695 m/s²'}",1
V05392913,CRJ900_0271,2023-12-11 14:13:00,1.9,"{'temp': '-22°C', 'pressure': '1088 hPa', 'vibrations': '4.852374524681194 m/s²'}",0
V07378433,A330_1129,2023-12-11 14:13:00,1.6,"{'temp': '9°C', 'pressure': '946 hPa', 'vibrations': '2.8629591014967377 m/s²'}",0
V05521898,E170_2644,2023-12-11 14:13:00,4.0,"{'temp': '-31°C', 'pressure': '964 hPa', 'vibrations': '3.548485262132495 m/s²'}",0
V04193524,B767_3637,2023-12-11 14:13:00,1.9,"{'temp': '-1°C', 'pressure': '1008 hPa', 'vibrations': '4.175226796605967 m/s²'}",0
V08374718,A320_2447,2023-12-11 14:13:00,0.7,"{'temp': '-36°C', 'pressure': '920 hPa', 'vibrations': '2.6870211262550785 m/s²'}",0
V00034059,B747_0195,2023-12-11 14:13:00,1.3,"{'temp': '-18°C', 'pressure': '1078 hPa', 'vibrations': '0.1454993186637532 m/s²'}",0
V05141802,B757_3072,2023-12-11 14:13:00,10.1,"{'temp': '35°C', 'pressure': '1094 hPa', 'vibrations': '1.8518677991160493 m/s²'}",1
V08321483,E175_3294,2023-12-11 14:13:00,0.8,"{'temp': '39°C', 'pressure': '1046 hPa', 'vibrations': '1.196699445188406 m/s²'}",0
V03247398,E170_1341,2023-12-11 14:13:00,10.6,"{'temp': '13°C', 'pressure': '973 hPa', 'vibrations': '2.6390952916257544 m/s²'}",1
V02801374,E175_4832,2023-12-11 14:13:00,3.4,"{'temp': '-26°C', 'pressure': '925 hPa', 'vibrations': '4.526356596515207 m/s²'}",0
V05518968,None_5828,2023-12-11 14:13:00,10.2,"{'temp': '2°C', 'pressure': '1032 hPa', 'vibrations': '2.728650637506294 m/s²'}",1
V02127780,A330_3674,2023-12-11 14:13:00,1.2,"{'temp': '16°C', 'pressure': '931 hPa', 'vibrations': '1.2431401930372572 m/s²'}",0
V03088166,B777_3467,2023-12-11 14:13:00,3.2,"{'temp': '-23°C', 'pressure': '1059 hPa', 'vibrations': '4.570820601689522 m/s²'}",0
V09468863,B737_2009,2023-12-11 14:13:00,7.7,"{'temp': '2°C', 'pressure': '1053 hPa', 'vibrations': '3.876928185603013 m/s²'}",0
V07668385,A350_3187,2023-12-11 14:13:00,8.4,"{'temp': '-8°C', 'pressure': '990 hPa', 'vibrations': '1.014427954268868 m/s²'}",0
V03641607,CRJ700_2277,2023-12-11 14:13:00,6.0,"{'temp': '-44°C', 'pressure': '978 hPa', 'vibrations': '3.1450613797685922 m/s²'}",0
V01073277,A320_2772,2023-12-11 14:13:00,10.9,"{'temp': '-39°C', 'pressure': '942 hPa', 'vibrations': '4.28304423385822 m/s²'}",1
V09970313,None_6663,2023-12-11 14:13:00,8.0,"{'temp': '5°C', 'pressure': '943 hPa', 'vibrations': '2.8276386883166875 m/s²'}",0
