ref_deg,linked_aero,compo_concerned,usure_cumulée,measure_day,need_replacement
D004818,None_6663,ECL30-458,43.8722,2023-12-06,False
D000091,B777_1042,TRA21-286,32.1048,2023-12-06,False
D003973,A340_3881,EQU23-153,23.4382,2023-12-06,False
D008021,B767_6273,SIE26-322,38.74960000000001,2023-12-06,False
D000392,A320_6954,DIS32-022,37.57540000000004,2023-12-06,False
D002353,A330_1129,EMP4-521,29.002199999999988,2023-12-06,False
D004863,CRJ700_0354,SYS28-245,41.00019999999997,2023-12-06,False
D000768,A350_3715,CAM38-017,37.44640000000004,2023-12-06,False
D002515,E170_2490,SYS37-563,25.60379999999997,2023-12-06,False
D006547,E175_5515,AIL6-005,31.37219999999997,2023-12-06,False
D009840,A321_4895,AUT8-419,31.46739999999995,2023-12-06,False
D006230,B747_0195,RAD11-213,32.54819999999999,2023-12-06,False
D000497,B737_0842,REA1-420,27.235600000000037,2023-12-06,False
D005434,B777_3756,POR34-451,30.780399999999982,2023-12-06,False
D006655,A320_0063,VOL17-438,28.9054,2023-12-06,False
D006357,B747_0302,SYS33-081,37.75559999999997,2023-12-06,False
D009172,A320_0020,SYS36-316,31.6262,2023-12-06,False
D000633,E175_0649,SYS36-575,37.82980000000002,2023-12-06,False
D007994,E175_6535,ANT25-456,36.02219999999998,2023-12-06,False
D008225,B767_3156,VOL18-191,34.79179999999996,2023-12-06,False
D003040,None_5980,SYS24-149,37.53280000000002,2023-12-06,False
D009381,A320_2772,GOU3-519,29.371600000000036,2023-12-06,False
D004071,A320_3805,VOL18-172,25.80619999999997,2023-12-06,False
D007996,B757_3072,DIS32-058,32.83580000000003,2023-12-06,False
D002114,B747_0607,REA1-166,46.8618,2023-12-06,False
D008314,B767_6463,GEN13-314,41.20979999999996,2023-12-06,False
D003254,A320_3805,SYS31-585,41.6344,2023-12-06,False
D007562,E175_5083,DIS15-411,41.30560000000001,2023-12-06,False
D008654,CRJ700_6475,ECL30-610,33.48480000000003,2023-12-06,False
D002912,B757_3072,AUT8-194,28.3474,2023-12-06,False
D001330,CRJ900_5255,EQU23-180,27.4918,2023-12-06,False
D003131,A350_1683,ANT25-073,26.8054,2023-12-06,False
D009727,A340_2112,SPO16-094,28.43240000000001,2023-12-06,False
D006703,B737_3698,DIS32-610,24.027199999999983,2023-12-06,False
D007020,E175_5323,AIL6-594,43.601200000000006,2023-12-06,False
D001083,B757_1659,SYS36-295,32.383200000000016,2023-12-06,False
D003113,CRJ900_1184,DIS15-237,34.83299999999996,2023-12-06,False
D006328,A350_5575,SYS10-431,37.97399999999999,2023-12-06,False
D002817,A320_2447,SYS28-160,26.433799999999984,2023-12-06,False
D006129,None_5980,SIE27-313,24.0946,2023-12-06,False
D007375,A320_3805,SYS10-102,29.85480000000007,2023-12-06,False
D008530,E175_4832,SYS14-403,37.30380000000002,2023-12-06,False
D004943,B747_0195,VOL18-384,28.602600000000034,2023-12-06,False
D003238,A350_3715,ANT25-676,27.173799999999986,2023-12-06,False
D004089,E170_4877,ECL30-590,46.38039999999998,2023-12-06,False
D005427,B767_2723,SYS9-474,38.726400000000005,2023-12-06,False
D006503,None_3415,SYS36-444,39.221399999999946,2023-12-06,False
D002396,None_6838,SYS37-205,39.15859999999997,2023-12-06,False
D002506,E170_4894,AUT8-014,44.95920000000008,2023-12-06,False
D005687,B737_0608,AIL5-381,36.92379999999997,2023-12-06,False
D009522,B747_0302,RAD11-333,21.92160000000001,2023-12-06,False
D009225,A380_5954,EQU23-098,36.4276,2023-12-06,False
D009732,CRJ700_5389,DET29-661,22.6294,2023-12-06,False
D000294,B737_5252,TRA20-643,39.5328,2023-12-06,False
D009669,E175_6535,EQU23-227,39.36959999999996,2023-12-06,False
D003611,A321_4569,SYS28-350,24.81260000000001,2023-12-06,False
D007291,A340_2112,TRA21-607,38.372,2023-12-06,False
D001478,B747_1933,VOL17-182,24.230799999999988,2023-12-06,False
D007610,None_1084,CAP39-635,43.922999999999945,2023-12-06,False
D000054,None_1084,SYS9-653,27.701200000000014,2023-12-06,False
D004224,B777_4681,SYS37-139,24.157600000000023,2023-12-06,False
D003618,B747_4916,DIS32-283,31.3364,2023-12-06,False
D001514,B767_0601,ANT25-354,28.3156,2023-12-06,False
D007700,CRJ900_5773,SYS37-559,39.09439999999997,2023-12-06,False
D002508,A320_6364,GEN13-313,40.2594,2023-12-06,False
D004765,E170_2644,TRA21-494,40.02900000000003,2023-12-06,False
D004287,B737_0342,SYS7-040,31.08640000000001,2023-12-06,False
D005785,A320_2447,SIE26-051,34.14719999999994,2023-12-06,False
D000868,None_3322,SYS36-544,40.3178,2023-12-06,False
