ref_deg,linked_aero,compo_concerned,usure_cumulée,measure_day,need_replacement
D000669,None_5579,DIS32-394,17.625600000000006,2023-11-16,False
D007437,B747_0175,DIS32-310,26.878400000000024,2023-11-16,False
D007362,A320_3805,SYS35-014,24.39680000000002,2023-11-16,False
D001122,CRJ900_5255,TRA19-089,31.43279999999997,2023-11-16,False
D005500,None_0075,SYS2-207,25.130399999999984,2023-11-16,False
D001585,B757_2360,RAD11-231,22.99839999999999,2023-11-16,False
D001029,E170_5822,SYS24-344,22.3504,2023-11-16,False
D002629,CRJ900_5333,SYS24-134,14.515600000000004,2023-11-16,False
D000131,A330_1563,ANT25-246,27.274799999999978,2023-11-16,False
D009659,E175_0808,BOI22-566,15.613999999999992,2023-11-16,False
D004972,E175_0583,POR34-054,16.878800000000012,2023-11-16,False
D005583,B747_4916,TRA21-665,26.5304,2023-11-16,False
D007892,A320_2772,TRA20-047,22.71439999999998,2023-11-16,False
D003803,CRJ700_2204,TRA20-191,24.2076,2023-11-16,False
D003645,A320_6954,VOL17-673,14.736799999999995,2023-11-16,False
D009143,B737_5678,TRA21-469,31.933600000000027,2023-11-16,False
D003472,B747_6830,RAD11-438,19.447599999999994,2023-11-16,False
D002197,E170_1341,SYS10-284,24.18080000000001,2023-11-16,False
D004566,A350_1683,GOU3-150,17.8212,2023-11-16,False
D001205,E175_4340,SYS9-062,21.05919999999998,2023-11-16,False
D002049,CRJ900_5158,SYS9-451,21.5172,2023-11-16,False
D005608,E175_3294,ORD12-122,24.26,2023-11-16,False
D008751,CRJ900_1184,POR34-562,26.6384,2023-11-16,False
D005937,A350_5401,VOL18-300,18.8536,2023-11-16,False
D006611,CRJ700_2204,POR34-217,17.444,2023-11-16,False
D001762,B757_2283,VOL18-466,56.820800000000055,2023-11-16,False
D008194,E170_0564,DIS32-522,18.832000000000004,2023-11-16,False
D001786,A330_1129,EQU23-397,43.45240000000007,2023-11-16,False
D003416,CRJ900_5158,SYS24-218,18.5028,2023-11-16,False
D006897,CRJ900_5255,SYS31-238,32.840799999999994,2023-11-16,False
D006268,B747_2822,VOL17-003,24.15199999999999,2023-11-16,False
D000985,CRJ900_2888,RAD11-031,29.901600000000037,2023-11-16,False
D007070,B737_3698,EMP4-320,18.93240000000001,2023-11-16,False
D005346,B777_3285,SYS28-475,16.85079999999999,2023-11-16,False
D005799,A350_5401,VOL18-300,18.8536,2023-11-16,False
D001111,A321_3449,SYS36-184,14.212,2023-11-16,False
D009837,A340_2275,SYS2-181,31.75119999999998,2023-11-16,False
D003722,E170_1474,AIL5-543,27.31879999999997,2023-11-16,False
D001219,A350_5575,SYS10-310,17.444,2023-11-16,False
D000960,A320_6052,SYS2-007,16.298399999999997,2023-11-16,False
D004381,A340_1943,VOL17-226,25.167999999999985,2023-11-16,False
D004978,A350_1948,REA0-155,25.31200000000001,2023-11-16,False
D008114,None_5883,EQU23-209,21.169200000000014,2023-11-16,False
D000419,A330_2342,DET29-442,20.0932,2023-11-16,False
D002037,B737_0608,SPO16-082,20.769199999999994,2023-11-16,False
D000106,A350_3715,ANT25-648,15.204799999999995,2023-11-16,False
D008533,CRJ900_2888,DIS32-588,25.606399999999983,2023-11-16,False
D006089,CRJ700_5378,REA1-555,24.85359999999998,2023-11-16,False
D009427,E170_4894,SYS37-479,16.396000000000004,2023-11-16,False
D000898,B737_4082,SYS9-240,28.2688,2023-11-16,False
D001692,None_5579,AIL6-029,21.66479999999999,2023-11-16,False
D007712,CRJ900_0468,SIE26-640,26.5444,2023-11-16,False
D001647,A320_2211,BOI22-587,28.579999999999966,2023-11-16,False
D008216,B747_4916,SYS35-512,24.5192,2023-11-16,False
D003308,A320_3073,SYS31-236,20.738,2023-11-16,False
D008739,CRJ900_5525,DIS32-334,53.9008,2023-11-16,False
D004138,A320_6052,VOL17-148,55.1107999999999,2023-11-16,False
D002751,A321_2784,AUT8-307,18.6076,2023-11-16,False
D002317,A380_5479,TRA19-167,29.58279999999997,2023-11-16,False
D000463,A340_1943,VOL18-436,23.94639999999997,2023-11-16,False
D007017,CRJ900_2289,SYS37-591,24.465200000000024,2023-11-16,False
D006715,A350_3187,SYS9-692,16.85839999999999,2023-11-16,False
D000258,A320_6028,DIS32-422,23.666800000000016,2023-11-16,False
D009945,A340_3881,RAD11-246,18.16239999999999,2023-11-16,False
D002708,A350_5575,SYS10-431,24.483999999999984,2023-11-16,False
D001201,A380_5954,GOU3-606,21.58200000000002,2023-11-16,False
D001856,CRJ700_0354,SYS33-019,18.980000000000008,2023-11-16,False
D009395,A330_5589,TRA20-169,23.79439999999998,2023-11-16,False
D008870,A340_2112,SYS37-156,19.873200000000004,2023-11-16,False
D002262,B757_2709,GOU3-364,23.92480000000002,2023-11-16,False
D002734,B777_1042,SYS33-168,23.9608,2023-11-16,False
D007778,E170_5403,SYS36-489,22.175200000000014,2023-11-16,False
D005731,B767_0657,ORD12-583,23.104,2023-11-16,False
D004210,B737_6821,SYS37-280,18.425600000000003,2023-11-16,False
D007535,B737_1878,SYS28-486,30.330000000000016,2023-11-16,False
D003807,B747_1559,GEN13-481,28.49079999999997,2023-11-16,False
D002050,A321_0987,AIL6-672,24.533600000000025,2023-11-16,False
D001310,CRJ900_5255,AIL5-523,20.4648,2023-11-16,False
D000588,A340_1943,ANT25-228,21.563200000000005,2023-11-16,False
D002140,B777_2343,CAP39-207,20.4572,2023-11-16,False
D008210,CRJ900_5525,VOL17-286,17.724,2023-11-16,False
D003747,A330_2838,SYS7-421,17.976799999999997,2023-11-16,False
D004768,E170_2532,REA0-175,16.417599999999993,2023-11-16,False
D002158,E175_5083,SYS33-616,22.82959999999997,2023-11-16,False
D006072,CRJ900_6200,SYS37-482,20.7256,2023-11-16,False
D001535,E170_2289,SIE26-164,23.01279999999998,2023-11-16,False
D003353,A321_2905,AUT8-500,64.8368,2023-11-16,False
D001854,E175_0583,ECL30-623,18.13960000000001,2023-11-16,False
D006221,B757_1659,ANT25-185,20.353200000000005,2023-11-16,False
D000927,None_1084,CAP39-635,29.16799999999997,2023-11-16,False
D008935,CRJ900_0468,TRA20-345,28.6064,2023-11-16,False
D000685,None_0118,SYS37-589,26.65079999999999,2023-11-16,False
D006829,B747_0302,DIS15-625,21.27520000000002,2023-11-16,False
D000423,None_5828,SYS37-689,14.5552,2023-11-16,False
D000490,E175_0583,SYS37-655,25.96320000000002,2023-11-16,False
D006444,E170_0564,REA1-115,25.3968,2023-11-16,False
D000895,A320_4881,BOI22-621,17.506,2023-11-16,False
D009057,A320_2211,AUT8-280,28.074399999999983,2023-11-16,False
D007064,A320_2211,SYS37-009,24.029599999999977,2023-11-16,False
D004023,A321_3449,DET29-306,22.7404,2023-11-16,False
D009963,E175_6535,SYS28-302,23.367199999999983,2023-11-16,False
D000449,CRJ900_0271,RAD11-657,19.855199999999986,2023-11-16,False
D000489,B737_6105,BOI22-372,19.80479999999999,2023-11-16,False
D005105,None_5391,SYS9-619,22.306800000000017,2023-11-16,False
D002101,E175_4749,EQU23-075,22.16800000000001,2023-11-16,False
D004981,CRJ900_4486,GEN13-206,28.874,2023-11-16,False
D001799,None_5980,CAM38-612,21.6372,2023-11-16,False
D001960,B757_2360,SYS36-336,24.64799999999999,2023-11-16,False
D000373,E175_0440,GOU3-418,15.6344,2023-11-16,False
D001568,E175_4340,TRA19-507,27.294399999999985,2023-11-16,False
D009629,B777_3285,TRA19-700,24.032,2023-11-16,False
D007136,CRJ900_1184,GEN13-442,20.69040000000002,2023-11-16,False
D002238,A340_1943,VOL17-594,24.29959999999998,2023-11-16,False
D006140,B747_2406,SYS31-676,23.876800000000017,2023-11-16,False
D005284,A330_5932,POR34-302,24.893600000000028,2023-11-16,False
D002573,A380_4821,AIL6-226,25.889599999999973,2023-11-16,False
D000601,E170_4877,TRA19-297,21.581599999999987,2023-11-16,False
D002819,B737_0318,TRA20-505,24.321999999999974,2023-11-16,False
D002309,CRJ900_0271,TRA19-464,35.974,2023-11-16,False
D000618,B767_1623,SYS35-296,22.9568,2023-11-16,False
D007314,A340_2275,ORD12-431,13.4804,2023-11-16,False
D001937,E175_6229,SYS28-495,18.468,2023-11-16,False
D003155,B767_0317,EQU23-066,24.2036,2023-11-16,False
D002125,A320_4466,ORD12-491,27.1428,2023-11-16,False
D005584,A321_2784,TRA21-644,14.75880000000001,2023-11-16,False
D006270,CRJ900_4486,REA1-158,28.923200000000023,2023-11-16,False
D000230,B777_1363,POR34-676,21.848000000000013,2023-11-16,False
D001351,B757_0284,TRA21-568,27.084000000000017,2023-11-16,False
D004379,E175_0649,GEN13-685,26.1928,2023-11-16,False
D000278,A320_6954,VOL17-443,28.3244,2023-11-16,False
D009157,E175_0964,SYS31-542,13.57079999999999,2023-11-16,False
D003751,B757_1013,GOU3-430,18.8108,2023-11-16,False
D001206,B767_1128,CAP39-295,28.183199999999964,2023-11-16,False
D006555,CRJ900_6725,EMP4-374,20.87920000000002,2023-11-16,False
D003493,A320_6364,SYS10-560,22.871999999999986,2023-11-16,False
